,,,,"Biblio info",,,,"Selectivity info",,,,,,,,,,,,,"Odds ratio",,"Log odds ratio",,"Raw numbers",,,,"Percent Extinction",,,"Multivariate Logistic Regression",,,,"Proportions",,,"Nonparametric Tests",,,,,,,,,"Computing d in designs with indpt groups",,,,,,,,,,,,,,,"Computing d in designs with paired groups",,,,,,,,,,,,,,,"Computing d in designs with indpt groups using ANCOVA",,,,,,,,,,,,,,,,,,,,,,,"Computing r w/ indpt grps",,,,,,,,,"Extinction info",,,,,,,,,"Chi Square",,,,,,,"Extinction Rate",,,,,"GLM",,,,,"Mean Species Duration/Longevity",,,,,"Additional Stats",,,,,
14,"Jablonski1986MES",1,"EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca",,"gastropod and bivalve","genera","Body Size","Body Size","Large planktotroph","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",,,,,25,11,147,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not phylogenetically corrected?; # gast and # bivalve not given",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Jablonski1986MES",2,"EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca",,"gastropod and bivalve","genera","Body Size","Body Size","Median planktotroph","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",,,,,94,66,147,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,"not phylogenetically corrected?; # gast and # bivalve not given",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Jablonski1986MES",3,"EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca",,"gastropod and bivalve","genera","Body Size","Body Size","Small planktotroph","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",,,,,28,22,147,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,"not phylogenetically corrected?; # gast and # bivalve not given",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Jablonski1995SEC",1,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Infaunal","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,114,84,167,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,"by using geometric mean of height and length) of >4 cm, is",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Jablonski1995SEC",2,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Life Habit","Life Habit","Epifaunal","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,53,46,167,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,"31% (n = 36), whereas survivorship among genera of <4 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Jablonski1995SEC",3,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Trophic Level","Feeding Mode","Suspension","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,153,97,165,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,"is 41% (n = 160) (0.01 < P < 0.05, binomial proportions test)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Jablonski1995SEC",4,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Trophic Level","Feeding Mode","Deposit","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,12,28,165,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,"(D.J., unpublished data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Jablonski1995SEC",1,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Env Distribution","Env Distribution","Near shore-middle shelf","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,32,30,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,"For the following 4 effect sizes an important figure is in MetaFigure Document explaining the shelf distributions/ bathymetric data",,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Jablonski1995SEC",2,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Env Distribution","Env Distribution","Inner-outer shelf","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,20,10,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Jablonski1995SEC",3,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Env Distribution","Env Distribution","Inner-middle shelf","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,64,63,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Jablonski1995SEC",4,"EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Env Distribution","Env Distribution","Entire shelf","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,30,21,146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Simpson2009ARA",1,"EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Relative Abundance",,"Induan","Gelasian","Mesozoic-Pleistocene","Induan-Gelasian","global","Pbdb (1631 collections used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","genera","Larval Type","Larval Type","Planktotroph","Maastrichtian","Maastrichtian","K/T","K/T","global",,,,,,17,11,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","genera","Larval Type","Larval Type","Nonplanktotroph","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,14,9,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mass","Mz","1-2MY","global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Endemic","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,21,2,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Bivalve","bivalve","genera","Geographic Range","Geographic Range","Cosmospolitan","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,,,42,51,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","genera","Geographic Range","Geographic Range","Endemic","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,,"              ",,46,7,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","genera","Geographic Range","Geographic Range","Cosmospolitan","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",,"       ",,,49,54,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Bivalve","bivalve","genera","Species Richness","Species Richness","Species-Rich","Maastrichtian","Maastrichtian","K/T","K/T","Coastal Plain",,,,,,25,22,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Bivalve","bivalve","genera","Species Richness","Species Richness","Species-Poor","Maastrichtian","Maastrichtian","K/T","K/T","Coastal Plain",,,,,,38,31,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Jablonski1986BME",1,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","genera","Species Richness","Species Richness","Species-Rich","Maastrichtian","Maastrichtian","K/T","K/T","Coastal Plain",,,,,,48,20,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Jablonski1986BME",2,"EO","Jablonski, David. 1986. Background and mass extinctions: the alternation of macroevolutionary events. Science 231: 129-133.","Jablonski 1986",1986,"PR","Mollusca","Gastropod","gastropod","genera","Species Richness","Species Richness","Species-Poor","Maastrichtian","Maastrichtian","K/T","K/T","Coastal Plain",,,,,,47,41,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Jablonski 1989 TBM",1,"EO","Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.","Jablonski 1989",1989,"PR","Mollusca","Bivalve","bivalve","genera","Species Richness","Species Richness","Species-poor","Maastrichtian","Maastrichtian","K/T","K/T","global","Hoffman 1986 data",,,,,24,27,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,"The Hoffman data was re-analyzed by Jablonski",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Jablonski 1989 TBM",2,"EO","Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.","Jablonski 1989",1989,"PR","Mollusca","Bivalve","bivalve","genera","Species Richness","Species Richness","Species-rich","Maastrichtian","Maastrichtian","K/T","K/T","global","Hoffman 1986 data",,,,,20,29,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Jablonski 1989 TBM",1,"EO","Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.","Jablonski 1989",1989,"PR","Mollusca","Gastropod","gastropod","genera","Species Richness","Species Richness","Species-poor","Maastrichtian","Maastrichtian","K/T","K/T","global","Hoffman 1986 data",,,,,19,63,28,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Jablonski 1989 TBM",2,"EO","Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.","Jablonski 1989",1989,"PR","Mollusca","Gastropod","gastropod","genera","Species Richness","Species Richness","Species-rich","Maastrichtian","Maastrichtian","K/T","K/T","global","Hoffman 1986 data",,,,,9,31,28,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Jablonski 1989 TBM",1,"EO","Jablonski, David. 1989. The biology of mass extinction: a paleontological view. Philosophical Transactions of the Royal Society. 325: 357-368.","Jablonski 1989",1989,"PR","Mollusca","Bivalve","bivalve","genera","Species Richness","Species Richness","Species-poor","Maastrichtian","Maastrichtian","K/T","K/T","global","1989 unfinished data",,,,,33,41,48,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,"global","bolide",,,,"according to paper this data collection was still in progress… keep off on using",,,,,,,,,,,,,,,,,,,,,,,,,,,,
